IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00077 0.000328568 0.00028734 0.000253267 0.000227137 0.000206228 0.000187759 0.000171732 0.000158032 0.000145802 0.00013598 0.00013598
GSP_Buckner_HU_00082 0.000491733 0.000415301 0.000367806 0.000326659 0.000293484 0.000266447 0.000242766 0.000223224 0.000206144 0.000192195 0.000192195
GSP_Buckner_HU_00083 0.000431634 0.000361695 0.000318819 0.000282554 0.000255569 0.000233155 0.000212961 0.000195672 0.000180567 0.000168349 0.000168349
GSP_Buckner_HU_00084 0.000467695 0.000393612 0.000344709 0.000305487 0.000274959 0.000250769 0.000229187 0.000210869 0.000194808 0.000181629 0.000181629
GSP_Buckner_HU_00086 0.000413306 0.000359807 0.000320935 0.000286901 0.000260138 0.000238198 0.000217343 0.000199927 0.00018439 0.000171936 0.000171936
GSP_Buckner_HU_00088 0.000450744 0.000383236 0.000337431 0.000299841 0.000269757 0.000245546 0.000224603 0.000206672 0.000190672 0.000177759 0.000177759
GSP_Buckner_HU_00090 0.000476741 0.00040591 0.000355996 0.000316658 0.000286067 0.000260449 0.000237924 0.000218417 0.000201577 0.000187947 0.000187947
GSP_Buckner_HU_00091 0.000431313 0.00036767 0.000326699 0.000292124 0.00026467 0.000241636 0.00022108 0.000203309 0.000187709 0.000175007 0.000175007
GSP_Buckner_HU_00092 0.000281557 0.000249734 0.000223786 0.000200534 0.000181824 0.000166478 0.000152274 0.000140235 0.000129289 0.000120557 0.000120557
GSP_Buckner_HU_00093 0.000431681 0.000364097 0.000318727 0.000283895 0.000256577 0.000233347 0.000212616 0.000195547 0.000180265 0.000168046 0.000168046
GSP_Buckner_HU_00095 0.000304509 0.000263081 0.00023421 0.000208054 0.000187493 0.000170701 0.000155391 0.000143206 0.000131916 0.000122991 0.000122991
GSP_Buckner_HU_00096 0.000491076 0.000417968 0.000368087 0.00032659 0.000293887 0.000267368 0.000244092 0.00022452 0.000207099 0.000193094 0.000193094
GSP_Buckner_HU_00097 0.00037527 0.00032765 0.000291146 0.000259801 0.000234458 0.000213775 0.000195461 0.000179682 0.000165724 0.000154553 0.000154553
GSP_Buckner_HU_00098 0.000421133 0.000362135 0.000319385 0.000283411 0.000256488 0.000233526 0.000212489 0.000195234 0.000180315 0.000168097 0.000168097
GSP_Buckner_HU_00101 0.00041385 0.000356958 0.000315771 0.000281665 0.000255004 0.00023286 0.000212685 0.000195708 0.000180599 0.000168381 0.000168381
GSP_Buckner_HU_00103 0.00037892 0.000330692 0.000296304 0.000264241 0.000238373 0.000217624 0.00019883 0.000183054 0.00016899 0.000157553 0.000157553
GSP_Buckner_HU_00108 0.000386476 0.000332648 0.000294689 0.000262857 0.000237877 0.000217511 0.000198546 0.000182747 0.000168609 0.000157177 0.000157177
GSP_Buckner_HU_00109 0.00043531 0.00037244 0.000327358 0.000290745 0.00026187 0.000238509 0.000217815 0.000200525 0.000184942 0.000172397 0.000172397
GSP_Buckner_HU_00114 0.000332737 0.000290703 0.00026251 0.000236163 0.000213909 0.000195982 0.000179067 0.000164793 0.000152037 0.000141784 0.000141784
GSP_Buckner_HU_00115 0.000447318 0.000381888 0.000336144 0.000300893 0.000272943 0.000248728 0.000227017 0.000208361 0.000192126 0.000179107 0.000179107
GSP_Buckner_HU_00116 0.000402264 0.000353423 0.000314088 0.000279679 0.000252903 0.000230677 0.000210847 0.0001943 0.00017929 0.000167161 0.000167161
GSP_Buckner_HU_00118 0.00044166 0.000370811 0.000326915 0.000290366 0.000262481 0.000239456 0.000218708 0.000201285 0.000185706 0.000173165 0.000173165
GSP_Buckner_HU_00119 0.00047623 0.000403365 0.00035676 0.00031493 0.000284346 0.000258671 0.000236265 0.000217271 0.000200518 0.000186908 0.000186908
GSP_Buckner_HU_00122 0.000276971 0.000255633 0.00023102 0.00020706 0.000188914 0.000172758 0.000158028 0.000145672 0.00013435 0.000125276 0.000125276
GSP_Buckner_HU_00123 0.000365291 0.000309039 0.000271621 0.000240175 0.000215797 0.000196088 0.000179132 0.000164783 0.000152017 0.000141736 0.000141736
GSP_Buckner_HU_00126 0.000436137 0.000380271 0.000339064 0.000303018 0.000274271 0.000249892 0.000228078 0.000209708 0.000193484 0.000180362 0.000180362
GSP_Buckner_HU_00127 0.000459947 0.000390663 0.000341925 0.000301923 0.000273102 0.000248888 0.000227312 0.000209158 0.000193077 0.000180043 0.000180043
GSP_Buckner_HU_00128 0.000446383 0.000377695 0.000329815 0.000292184 0.000262711 0.000239446 0.000219307 0.000201723 0.000186135 0.000173546 0.000173546
GSP_Buckner_HU_00132 0.000456751 0.000389752 0.000344704 0.000306209 0.000276622 0.000252023 0.000229929 0.000211238 0.000194801 0.000181578 0.000181578
GSP_Buckner_HU_00134 0.000383341 0.000329472 0.000293216 0.000261684 0.000237468 0.000216825 0.000197893 0.000182287 0.000168173 0.000156841 0.000156841
GSP_Buckner_HU_00136 0.000484253 0.000413169 0.000362535 0.000321183 0.000288832 0.000262748 0.000239739 0.000220359 0.00020337 0.000189594 0.000189594
GSP_Buckner_HU_00137 0.000393835 0.000337913 0.000298372 0.000267603 0.000240712 0.000220509 0.000201631 0.000185347 0.000171019 0.000159457 0.000159457
GSP_Buckner_HU_00138 0.000391451 0.000336093 0.000298323 0.000265793 0.000239773 0.000219191 0.000200342 0.000184115 0.000169701 0.000158265 0.000158265
GSP_Buckner_HU_00139 0.000505361 0.000424134 0.000371198 0.000328439 0.000295723 0.000269177 0.000245803 0.000226161 0.000208711 0.000194611 0.000194611
GSP_Buckner_HU_00140 0.000491196 0.000411501 0.000362537 0.000321802 0.000290038 0.000264339 0.00024146 0.000222002 0.00020485 0.000190965 0.000190965
GSP_Buckner_HU_00142 0.000426223 0.000364844 0.000325097 0.000289625 0.000261517 0.000238268 0.000217867 0.000200679 0.000185176 0.000172625 0.000172625
GSP_Buckner_HU_00143 0.000349713 0.000304004 0.000270613 0.000240643 0.000218022 0.000199899 0.000182372 0.000167929 0.000154943 0.000144464 0.000144464
GSP_Buckner_HU_00144 0.000442843 0.000378357 0.00033518 0.000298971 0.000270841 0.000246983 0.000226285 0.000208174 0.000192117 0.000179128 0.000179128
GSP_Buckner_HU_00146 0.000393897 0.00033777 0.000301663 0.000270277 0.000245708 0.000224535 0.000205408 0.000189352 0.000174693 0.000162872 0.000162872
GSP_Buckner_HU_00147 0.000411824 0.000354317 0.000312689 0.000277389 0.00024949 0.000227205 0.000207423 0.000191088 0.000176449 0.000164492 0.000164492
GSP_Buckner_HU_00151 0.000464703 0.000390187 0.000343187 0.000303604 0.000274333 0.000249674 0.000228168 0.000209745 0.00019354 0.000180426 0.000180426
GSP_Buckner_HU_00156 0.000398902 0.000345484 0.000308442 0.000275364 0.000249785 0.000227878 0.000208013 0.000191449 0.000176692 0.000164707 0.000164707
GSP_Buckner_HU_00158 0.000292931 0.000253713 0.000225398 0.000199851 0.000180843 0.000164519 0.000150116 0.000138181 0.000127474 0.000118882 0.000118882
GSP_Buckner_HU_00160 0.00046716 0.000388895 0.000339273 0.000299453 0.000269482 0.000244952 0.000223274 0.000204849 0.000188826 0.000176034 0.000176034
GSP_Buckner_HU_00163 0.000459309 0.000395248 0.000347374 0.00030817 0.000277553 0.000252689 0.000231101 0.000212589 0.000196056 0.000182789 0.000182789
GSP_Buckner_HU_00164 0.000375156 0.00032053 0.000283277 0.000251977 0.000226556 0.000206487 0.000188578 0.00017363 0.000160163 0.000149305 0.000149305
GSP_Buckner_HU_00165 0.000485629 0.000405024 0.000354545 0.000313844 0.00028227 0.000256478 0.000234276 0.000215496 0.00019879 0.000185346 0.000185346
GSP_Buckner_HU_00169 0.000304323 0.000266089 0.00023647 0.000212206 0.000192233 0.000175609 0.000160197 0.00014751 0.000136045 0.000126849 0.000126849
GSP_Buckner_HU_00170 0.000354313 0.000301858 0.000266586 0.000236595 0.000214255 0.000195758 0.000178823 0.000164604 0.000151741 0.000141494 0.000141494
GSP_Buckner_HU_00173 0.000448098 0.000377147 0.000332259 0.000296749 0.000269232 0.000245141 0.000224201 0.000206318 0.000190483 0.000177551 0.000177551
GSP_Buckner_HU_00174 0.000446337 0.000376833 0.000332322 0.000294601 0.000265577 0.000240913 0.000219975 0.000202286 0.000186592 0.000173955 0.000173955
GSP_Buckner_HU_00176 0.000413505 0.000359218 0.000317692 0.000283261 0.000257301 0.000234949 0.000214842 0.000197646 0.000182272 0.000169936 0.000169936
GSP_Buckner_HU_00180 0.000407501 0.000351499 0.000314394 0.000281541 0.000255516 0.00023342 0.000213577 0.000196459 0.0001814 0.000169122 0.000169122
GSP_Buckner_HU_00181 0.000298879 0.000263157 0.000235568 0.000211831 0.000192089 0.000175133 0.00016007 0.000147432 0.000135983 0.000126848 0.000126848
GSP_Buckner_HU_00182 0.000381516 0.000330528 0.000292656 0.000260222 0.00023374 0.000213384 0.000194787 0.000178993 0.000165177 0.000153975 0.000153975
GSP_Buckner_HU_00183 0.000383288 0.000321964 0.000284547 0.000253852 0.000229431 0.000209091 0.000191024 0.000175687 0.000162081 0.000151147 0.000151147
GSP_Buckner_HU_00186 0.000325284 0.000272724 0.000240318 0.000213887 0.000193779 0.000177108 0.000161787 0.000149075 0.000137272 0.000128023 0.000128023
GSP_Buckner_HU_00188 0.000362361 0.000309911 0.000275707 0.000245492 0.000221197 0.000202224 0.000184674 0.000170097 0.000156915 0.000146314 0.000146314
GSP_Buckner_HU_00190 0.000523024 0.000434697 0.000380102 0.000336236 0.000303293 0.000275586 0.000251369 0.000230944 0.00021315 0.00019871 0.00019871
GSP_Buckner_HU_00193 0.000382403 0.00032961 0.000292737 0.000259538 0.000235001 0.000214094 0.000195265 0.000179741 0.000165857 0.000154697 0.000154697
GSP_Buckner_HU_00194 0.000423516 0.000353753 0.000311235 0.000276772 0.000248335 0.000225615 0.000205857 0.000189729 0.000174979 0.000163106 0.000163106
GSP_Buckner_HU_00195 0.000463229 0.000394591 0.000348344 0.000310511 0.00028117 0.000255995 0.000233527 0.000214489 0.000197927 0.000184529 0.000184529
GSP_Buckner_HU_00198 0.000414545 0.000353437 0.000313524 0.000279489 0.000251994 0.000229479 0.000209235 0.000192389 0.000177354 0.00016527 0.00016527
GSP_Buckner_HU_00199 0.000431018 0.000371641 0.000326146 0.000288792 0.000260187 0.000236603 0.000216371 0.000198911 0.000183382 0.00017096 0.00017096
GSP_Buckner_HU_00200 0.000369812 0.000315953 0.000282001 0.000251899 0.000228397 0.000208476 0.000190638 0.00017529 0.000161773 0.000150758 0.000150758
GSP_Buckner_HU_00202 0.00046234 0.00039316 0.000344829 0.000305382 0.000276018 0.000251286 0.000229308 0.000210861 0.0001946 0.000181422 0.000181422
GSP_Buckner_HU_00204 0.000403624 0.000346456 0.000308297 0.000273353 0.000246615 0.000224674 0.000204939 0.000188556 0.000173984 0.000162267 0.000162267
GSP_Buckner_HU_00207 0.000412873 0.000356598 0.00031501 0.00028002 0.000252916 0.000230269 0.00021053 0.000193246 0.00017822 0.000166089 0.000166089
GSP_Buckner_HU_00209 0.000484048 0.000406204 0.000359743 0.000319368 0.000286964 0.000261052 0.000238707 0.000219606 0.000202598 0.000188882 0.000188882
GSP_Buckner_HU_00211 0.000478992 0.000398454 0.000350475 0.000311114 0.000280034 0.000254773 0.00023283 0.000213936 0.000197384 0.000183982 0.000183982
GSP_Buckner_HU_00212 0.00027228 0.000241683 0.000217556 0.000193073 0.000175091 0.000160286 0.000146502 0.000135003 0.000124443 0.000116052 0.000116052
GSP_Buckner_HU_00217 0.000487274 0.000412441 0.000363196 0.000321003 0.000288085 0.000262135 0.000239371 0.000220173 0.000203161 0.000189401 0.000189401
GSP_Buckner_HU_00219 0.000354776 0.000302927 0.000270358 0.000240274 0.000217472 0.00019812 0.000180854 0.000166637 0.000153699 0.000143349 0.000143349
GSP_Buckner_HU_00221 0.000509463 0.000428572 0.000376618 0.000335136 0.000303609 0.000276129 0.000252284 0.000231877 0.000213937 0.000199431 0.000199431
GSP_Buckner_HU_00225 0.000355936 0.0003022 0.000268174 0.000237306 0.00021361 0.000194559 0.000177468 0.000163118 0.000150437 0.000140279 0.000140279
GSP_Buckner_HU_00226 0.0004088 0.000348546 0.000309013 0.000275204 0.00024938 0.000227869 0.000208373 0.000191865 0.000177021 0.000164998 0.000164998
GSP_Buckner_HU_00228 0.000458158 0.00038854 0.000342345 0.000304646 0.00027526 0.000250386 0.00022837 0.000210112 0.000193782 0.00018062 0.00018062
GSP_Buckner_HU_00231 0.000392403 0.000335874 0.000297381 0.000264765 0.000240086 0.000218834 0.000199986 0.000184041 0.000169783 0.000158269 0.000158269
GSP_Buckner_HU_00233 0.000432532 0.000370352 0.000326317 0.00029084 0.000263136 0.000240121 0.000219669 0.000201961 0.000186335 0.00017377 0.00017377
GSP_Buckner_HU_00236 0.000437159 0.000372992 0.000326384 0.000289437 0.000261168 0.000237834 0.000217127 0.0001999 0.000184437 0.000171944 0.000171944
GSP_Buckner_HU_00237 0.000306732 0.000272288 0.000246664 0.000220534 0.00019995 0.00018368 0.000168095 0.000154704 0.000142574 0.00013294 0.00013294
GSP_Buckner_HU_00238 0.000341892 0.000304062 0.00027289 0.00024388 0.000221667 0.000202136 0.000184339 0.000169728 0.000156602 0.000146025 0.000146025
GSP_Buckner_HU_00241 0.000507261 0.000423841 0.000371792 0.000328461 0.000295734 0.000268964 0.000245691 0.000225757 0.000208226 0.000194123 0.000194123
GSP_Buckner_HU_00242 0.000361968 0.000319993 0.000289288 0.000259239 0.000235397 0.000215413 0.000197019 0.000181483 0.000167533 0.00015613 0.00015613
GSP_Buckner_HU_00243 0.000455162 0.000384923 0.000340096 0.000303286 0.000274211 0.000249261 0.000227822 0.000209412 0.000193153 0.000180057 0.000180057
GSP_Buckner_HU_00244 0.000446383 0.000379464 0.000337013 0.000297925 0.00026925 0.000245931 0.000224614 0.000206531 0.000190578 0.000177678 0.000177678
GSP_Buckner_HU_00246 0.000228293 0.000208708 0.000191633 0.000172769 0.000157324 0.000144357 0.000132388 0.000122075 0.000112541 0.000104967 0.000104967
GSP_Buckner_HU_00248 0.000444776 0.000367693 0.000324093 0.000285714 0.000257321 0.000233547 0.0002129 0.000195795 0.000180673 0.000168452 0.000168452
GSP_Buckner_HU_00250 0.000484025 0.00039991 0.000346464 0.000304548 0.000273431 0.000248474 0.000227052 0.000208916 0.000192835 0.00017973 0.00017973
GSP_Buckner_HU_00251 0.000350672 0.000302794 0.00027037 0.000240389 0.000216973 0.000197601 0.000179999 0.000165438 0.000152576 0.000142311 0.000142311
GSP_Buckner_HU_00253 0.000375385 0.000326165 0.000290512 0.000259559 0.000234559 0.000214661 0.000196 0.000180325 0.000166238 0.000154969 0.000154969
GSP_Buckner_HU_00255 0.000494826 0.000409645 0.000358693 0.000316548 0.000284343 0.000258082 0.000235191 0.000216305 0.000199482 0.000185913 0.000185913
GSP_Buckner_HU_00256 0.00039331 0.000339711 0.000300734 0.000268285 0.000242054 0.000220902 0.000201659 0.000185644 0.000171202 0.000159637 0.000159637
GSP_Buckner_HU_00258 0.000412995 0.000352383 0.000311632 0.00027773 0.000251134 0.000229563 0.000209712 0.000192904 0.000178141 0.000166076 0.000166076
GSP_Buckner_HU_00259 0.000281348 0.000249421 0.000224467 0.000200249 0.000181213 0.000165978 0.000152166 0.000139899 0.000128882 0.000120131 0.000120131
GSP_Buckner_HU_00260 0.000451073 0.000381963 0.000336937 0.000298178 0.0002677 0.000243665 0.000222519 0.00020441 0.000188516 0.000175759 0.000175759
GSP_Buckner_HU_00261 0.000402883 0.000343668 0.000306163 0.000272836 0.000246289 0.000224519 0.000204659 0.000188624 0.000174021 0.000162236 0.000162236
GSP_Buckner_HU_00263 0.000395599 0.000340912 0.000303764 0.000270356 0.000244974 0.000223498 0.000204375 0.000188294 0.000173794 0.000162003 0.000162003
GSP_Buckner_HU_00264 0.000231559 0.000205952 0.000187332 0.000168767 0.000152337 0.000139409 0.000127104 0.000117048 0.000107846 0.000100578 0.000100578
GSP_Buckner_HU_00266 0.000371639 0.000326114 0.000291855 0.000260658 0.000235696 0.00021543 0.000197155 0.000181454 0.000167362 0.000156023 0.000156023
GSP_Buckner_HU_00270 0.000327363 0.000280391 0.000250634 0.000223732 0.000202736 0.000185011 0.000169137 0.000155555 0.000143553 0.000133842 0.000133842
