IID pT_0.1 pT_0.2 pT_0.3 pT_0.4 pT_0.5 pT_0.6 pT_0.7 pT_0.8 pT_0.9 pT_1 pT_1.1
GSP_Buckner_HU_00067 0.000108027 0.0000787808 0.0000611371 0.0000512244 0.000044886 0.0000382698 0.0000347211 0.0000309514 0.000027893 0.0000255976 0.0000255976
GSP_Buckner_HU_00068 0.0000808969 0.0000536708 0.0000389507 0.0000315521 0.0000269853 0.0000223209 0.0000207644 0.0000182533 0.0000162854 0.0000149973 0.0000149973
GSP_Buckner_HU_00070 0.000084962 0.0000559084 0.000043973 0.0000368752 0.0000320087 0.0000268777 0.0000249402 0.0000219516 0.0000199042 0.0000182873 0.0000182873
GSP_Buckner_HU_00072 0.0000679618 0.0000438158 0.0000312114 0.0000269693 0.0000225096 0.0000177218 0.0000165648 0.0000146425 0.0000129481 0.0000119339 0.0000119339
GSP_Buckner_HU_00077 0.0000986142 0.0000641881 0.0000482163 0.000038162 0.0000316192 0.0000257995 0.0000239157 0.0000210406 0.000018941 0.0000174036 0.0000174036
GSP_Buckner_HU_00082 0.0000891374 0.0000618927 0.000048708 0.000040257 0.0000346575 0.0000291793 0.0000269879 0.0000239629 0.0000217172 0.0000199468 0.0000199468
GSP_Buckner_HU_00083 0.0000412195 0.0000196861 0.0000116531 0.00000935118 0.00000801639 0.00000594008 0.00000602322 0.00000490794 0.00000421464 0.00000393821 0.00000393821
GSP_Buckner_HU_00084 0.0000774365 0.0000495049 0.0000366373 0.0000299461 0.0000265791 0.0000213232 0.0000197737 0.0000174479 0.0000155708 0.0000143246 0.0000143246
GSP_Buckner_HU_00086 0.0000761349 0.0000511516 0.0000392962 0.0000335719 0.0000293599 0.0000244374 0.0000227101 0.0000200965 0.0000182695 0.0000168265 0.0000168265
GSP_Buckner_HU_00088 0.0000706805 0.0000517504 0.0000390195 0.0000327056 0.0000281681 0.0000226517 0.0000211872 0.0000187027 0.0000166923 0.0000153878 0.0000153878
GSP_Buckner_HU_00090 0.000106149 0.0000682614 0.0000509524 0.0000425108 0.0000360615 0.0000297662 0.0000277168 0.0000249015 0.0000224405 0.0000206085 0.0000206085
GSP_Buckner_HU_00091 0.0000760515 0.0000535579 0.0000384836 0.0000326212 0.0000284176 0.000023992 0.0000226144 0.0000201712 0.0000180203 0.0000165824 0.0000165824
GSP_Buckner_HU_00092 0.0000660704 0.0000431538 0.0000313312 0.0000260367 0.0000219387 0.0000176363 0.0000162843 0.0000143466 0.0000126917 0.0000116938 0.0000116938
GSP_Buckner_HU_00093 0.000111148 0.0000760333 0.0000601607 0.0000504066 0.0000426096 0.000035271 0.0000323807 0.0000287915 0.0000260512 0.0000239179 0.0000239179
GSP_Buckner_HU_00095 0.0000587573 0.0000407886 0.0000332884 0.0000286817 0.0000251924 0.00002177 0.0000201022 0.0000175459 0.0000156847 0.0000144477 0.0000144477
GSP_Buckner_HU_00096 0.0000981116 0.00006823 0.0000529181 0.0000428576 0.0000375448 0.0000304453 0.0000279959 0.0000247813 0.0000223116 0.0000204935 0.0000204935
GSP_Buckner_HU_00097 0.0000753679 0.0000541352 0.0000415552 0.0000343652 0.0000300206 0.0000244748 0.0000225046 0.0000198345 0.0000177089 0.000016272 0.000016272
GSP_Buckner_HU_00098 0.0000542905 0.0000377391 0.0000285329 0.0000241464 0.0000206323 0.0000166121 0.0000155101 0.000013172 0.0000115041 0.0000105962 0.0000105962
GSP_Buckner_HU_00101 0.0000957254 0.0000517828 0.0000368614 0.000031242 0.0000266295 0.0000217671 0.0000199606 0.0000176901 0.0000157384 0.0000144669 0.0000144669
GSP_Buckner_HU_00103 0.0000608595 0.000037273 0.0000261855 0.0000199461 0.0000174838 0.0000128999 0.0000122282 0.0000105504 0.00000941705 0.00000870261 0.00000870261
GSP_Buckner_HU_00108 0.0000738179 0.0000430968 0.0000316729 0.0000246995 0.0000216937 0.0000179546 0.0000165741 0.0000145455 0.0000131015 0.0000120815 0.0000120815
GSP_Buckner_HU_00109 0.0000838599 0.0000575561 0.0000446852 0.0000359643 0.0000309721 0.0000247084 0.0000223531 0.0000195092 0.0000173154 0.0000159314 0.0000159314
GSP_Buckner_HU_00114 0.0000918928 0.0000608236 0.0000459899 0.0000365396 0.0000310855 0.0000256008 0.0000234184 0.0000205895 0.0000185248 0.0000170569 0.0000170569
GSP_Buckner_HU_00115 0.000110924 0.0000755285 0.000058095 0.00004566 0.0000387829 0.0000323665 0.000029694 0.0000261247 0.0000232977 0.0000213836 0.0000213836
GSP_Buckner_HU_00116 0.0000937992 0.0000565577 0.0000435185 0.0000356165 0.0000312316 0.000026119 0.0000242321 0.0000213842 0.0000190134 0.0000174753 0.0000174753
